지역,단속건수,면적,면적 당 단속건수
새롬동,7922,1.49,5317
다정동,8908,1.7,5240
아름동,10572,2.19,4827
어진동,11016,2.65,4157
고운동,15164,5.35,2834
대평동,4065,1.5,2710
소담동,3086,1.17,2638
보람동,3352,1.33,2520
도담동,4480,2.03,2207
조치원읍,28321,13.56,2089
종촌동,1547,1.15,1345
한솔동,2308,2.7,855
집현동,2265,5.58,406
나성동,9780,24.91,393
해밀동,2748,8.44,326
세종동,3194,23.46,136
산울동,389,2.86,136
반곡동,1935,15.78,123
소정면,1627,16.47,99
연동면,944,21.5,44
부강면,578,27.82,21
가람동,30,1.63,18
금남면,1219,72.55,17
연기면,138,13.56,10
연서면,418,54.6,8
전의면,210,62.4,3
장군면,50,53.23,1
전동면,35,57.7,1
한별동,2,1.63,1
