지역,단속장소,단속건수
나성동,국민은행첫마을지점,1709
나성동,나성동 현대자동차인근,1567
나성동,나성동 세종행복타워주변,1498
나성동,나성동 메가박스,535
나성동,에반아트리움뒤편,492
도담동,도담동 먹자골목인근,1580
도담동,도담복컴주변,611
도담동,도담동 도담서4길,516
도담동,양지고등학교 삼거리,212
도담동,양지초등학교,204
보람동,호려울마을4단지앞사거리,923
보람동,세종교육청앞삼거리,611
보람동,호려울마을8-9단지사거리,432
보람동,보람동 금강시티타워 사,311
보람동,보람지구대 사거리,300
소담동,새샘마을3단지정문앞,736
소담동,새샘마을5단지501동앞,563
소담동,새샘마을2단지218동주변,267
소담동,소담동 법원4로,236
소담동,소담동 아이콤타워삼거리,171
아름동,축산물품질평가원 삼거리,3292
아름동,범지기마을 6단지 부근,3284
아름동,대영프라자부근,578
아름동,아름동교차로,409
아름동,아름유치원 삼거리,369
조치원읍,조치원역광장-버스정류장,2658
조치원읍,조치원농협사거리,2000
조치원읍,조치원역광장-택시승강장,1778
조치원읍,조치원읍 으뜸길 부근,1295
조치원읍,조치원읍 시민회관네거리,1138
한솔동,한솔파출소,536
한솔동,한솔동 940 횡단보도,408
한솔동,첫마을4단지주변,347
한솔동,첫마을301동-308동 사이,118
한솔동,한솔동 1230 인도,110
